,importance,stddev,p_value,n,p99_high,p99_low
MATS1se,0.0035383295557997276,0.0019057636739298514,0.04230360690278074,3,0.014458566744631252,-0.007381907633031797
ATSC1i,0.003428480380683293,0.0013154303545261647,0.022864896783133554,3,0.01096604218507689,-0.004109081423710305
MDEC-11,0.003407641518587782,0.0015329912942056774,0.030660460517161293,3,0.0121918516334858,-0.005376568596310237
AETA_alpha,0.0033317096820527268,0.0014420422095956468,0.028572594911539687,3,0.011594771456453412,-0.004931352092347957
MAXssO,0.0033039958443468187,0.0019101635886526822,0.047845127578405006,3,0.014249445032463053,-0.007641453343769415
AATS7pe,0.0032999399776353355,0.001933937760377315,0.048976596077448496,3,0.014381617806139937,-0.007781737850869266
SaaO,0.003100799378961535,0.001270731912366025,0.02583979682444905,3,0.01038223415300123,-0.004180635395078161
MAXaaaC,0.003088311164549699,0.00021265262772788754,0.0007883518255492966,3,0.004306834303270361,0.0018697880258290364
EState_VSA4,0.0030612543476905194,0.003625207246774985,0.14055021996447908,3,0.02383409388440997,-0.017711585189028933
GGI10,0.002931799190877641,0.0014324183416960117,0.03558952130729071,3,0.011139715134986955,-0.005276116753231674
GATS7d,0.0029186839581906523,0.0028005876783242087,0.10641005417801408,3,0.018966361922559852,-0.013128994006178547
ETA_beta_ns_d,0.002911270828770666,0.0007429301669415298,0.010512650084366817,3,0.007168343071631736,-0.0013458014140904045
MATS1pe,0.0027542461558331213,0.0016156237657761509,0.049054242016085756,3,0.012011949496251692,-0.00650345718458545
AATS2i,0.002730780245625527,0.001069792710350271,0.023769321806347863,3,0.008860811109220377,-0.003399250617969323
AATSC1pe,0.0026880027670607896,0.001418693279142432,0.04082158579957167,3,0.010817272580714918,-0.005441267046593338
MATS1c,0.0026373228802766637,0.0015416140196158113,0.048759500552929734,3,0.0114709421679808,-0.006196296407427474
GATS6c,0.0025985393124906184,0.0006206199561889618,0.009244128717582801,3,0.006154760484305837,-0.0009576818593245999
AATSC1are,0.0025622972885624615,0.0013119938255427162,0.038692910764610754,3,0.010080167400791434,-0.00495557282366651
ATS8p,0.0025041430894718886,0.0009686109356032658,0.023213341666909797,3,0.00805439116334352,-0.0030461049843997423
ATSC1dv,0.002480633756824465,0.0012342662038457711,0.03676779704314396,3,0.009553115977225224,-0.004591848463576293
VSA_EState8,0.002419321819121819,0.0007041353226375398,0.013546879116118815,3,0.0064540953020166235,-0.0016154516637729862
MAXsCH3,0.0023854049169822846,0.0015546191697697522,0.058602848970264514,3,0.011293545157257917,-0.006522735323293349
