,importance,stddev,p_value,n,p99_high,p99_low
ATSC5se,0.0011798487702167904,0.0006837542176195119,0.048043273485129885,3,0.005097836261221848,-0.002738138720788267
AATS6v,0.0011750814325081997,0.0007185996581603305,0.052663654882355956,3,0.005292737161952495,-0.0029425742969360954
PEOE_VSA6,0.001150459188723696,0.0021469176280356547,0.2256575851361481,3,0.013452535277039301,-0.01115161689959191
MATS2v,0.0011299999087386325,0.0009881982857642194,0.09308519414688482,3,0.0067924856711465515,-0.0045324858536692865
AATS8d,0.0010761359468235328,0.0007284370216814598,0.06238949812890219,3,0.005250160860145684,-0.003097888966498619
AATSC3pe,0.0010668450700168735,0.00046343328560512605,0.0287629904951865,3,0.003722369188372883,-0.0015886790483391363
IC2,0.0010668105115854698,0.0010117731924467511,0.1046725061575014,3,0.006864383103593276,-0.004730762080422337
ATSC8v,0.001065214845437562,0.0004448556312936595,0.0267559895559872,3,0.003614286944443769,-0.0014838572535686447
AATSC3are,0.0010508211347985592,0.00029230771831647846,0.012418061035416261,3,0.002725776775840752,-0.0006241345062436333
MATS4se,0.0010295355148368563,3.7659203798084135e-05,0.00022285271289455844,3,0.0012453269287688868,0.0008137441009048259
ATSC8se,0.0010055743809275302,0.0009522288155162267,0.10444445809057959,3,0.006461951090026273,-0.004450802328171213
JGI10,0.0010045786471675755,0.0008795289034965847,0.09324363407134766,3,0.006044376798430455,-0.004035219504095304
ATSC7p,0.0009805937522231005,0.00045252872784076184,0.032112948298688986,3,0.0035736335453423846,-0.0016124460408961834
GATS3i,0.0009804897309224532,0.0016415634789639201,0.20479211557923022,3,0.010386830504458103,-0.008425851042613196
MATS3c,0.0009662193852464825,0.0007921223314180677,0.08449537592890276,3,0.0055051681856599765,-0.0035727294151670116
AATS7se,0.0009622204690116487,0.0005361171445059142,0.0448817972428681,3,0.0040342311590523,-0.0021097902210290022
MATS2dv,0.0009567598738488189,0.00034774263103183297,0.020661886639081407,3,0.0029493637121333974,-0.0010358439644357594
MATS5se,0.0009362720892320542,0.0009041832648412659,0.10737520656626597,3,0.006117342465013675,-0.004244798286549566
JGI9,0.0009251857301586786,0.0011307284109353007,0.14607385266118933,3,0.007404384915491955,-0.005554013455174598
AATS0dv,0.0009171945638464888,0.00014094044306421798,0.0038896115815772007,3,0.0017247989320137653,0.00010959019567921221
Mv,0.0009066502173754413,0.0012757348028739394,0.17172877367448858,3,0.0082167521088146,-0.006403451674063718
ATSC7are,0.0008988497260826456,0.00015105340720734925,0.00464146803048902,3,0.0017644025002542265,3.3296951911064555e-05
AATS6Z,0.0008965665758988347,0.00018743567653353648,0.007128891700297736,3,0.0019705937878744697,-0.00017746063607680044
GATS3m,0.000889860303564379,0.0006035643569187177,0.06259651535646009,3,0.004348351000202336,-0.002568630393073578
AATSC8pe,0.0008825501740306977,0.0015335486537014229,0.21194415380620962,3,0.009669954020647001,-0.007904853672585607
GATS8are,0.0008775474963838292,0.0010098992747025687,0.13562082851098423,3,0.00666438233191177,-0.004909287339144111
AXp-6dv,0.0008605075993267745,0.0006422260312048073,0.07303038250313502,3,0.00454053397696071,-0.002819518778307161
MW,0.0008566190712101148,0.0004261128880073564,0.03675129121061979,3,0.003298293172733375,-0.001585055030313145
ATSC3are,0.0008432562758854863,0.0009787704968859821,0.13708563254941158,3,0.006451719762538574,-0.004765207210767602
SpMAD_Dzp,0.0008257298439794855,0.0023053936539389874,0.2991407985892393,3,0.014035891134716419,-0.012384431446757447
AATS6are,0.0008243183853524442,0.00018071024508862162,0.007822374821188235,3,0.0018598081293406399,-0.00021117135863575164
AXp-6d,0.0008190590091307811,0.0002235384676341238,0.011970309768275234,3,0.0020999592176854038,-0.00046184119942384164
AXp-7d,0.00079663625211987,0.000593245597207666,0.07277548154525665,3,0.004195999311327903,-0.0026027268070881637
AATS5pe,0.0007830891037182153,0.0002145461248098957,0.01205953669237374,3,0.0020124621906957097,-0.00044628398325927934
AATS6d,0.0007799747296009241,0.00039330227161937483,0.0376534160821988,3,0.0030336403607299106,-0.0014736909015280624
AXp-1dv,0.0007612768451867868,0.0006401972167903233,0.0878125364074639,3,0.004429677891242963,-0.002907124200869389
MATS2se,0.0007450934848630223,9.528914806010491e-05,0.002703834895187623,3,0.0012911108702150392,0.0001990760995110054
AATSC3d,0.0007429397286195424,0.0010867435962924302,0.17901512714692946,3,0.0069701010484096776,-0.0054842215911705934
